Term,Normalized Similarity,Raw Similarity,Rank,Model
irrigation canals overflow,0.59605736,0.78838843,9,hkunlp/instructor-large
broken levee,0.5609816,0.78456867,10,hkunlp/instructor-large
wind,0.51868045,0.77996206,11,hkunlp/instructor-large
tsunami,0.51211464,0.77924705,12,hkunlp/instructor-large
monsoon rains,0.5058926,0.77856946,13,hkunlp/instructor-large
fire,0.049038775,0.72881794,14,hkunlp/instructor-large
tears of joy,0.035475336,0.7273409,15,hkunlp/instructor-large
police,0.0,0.7234776,16,hkunlp/instructor-large
broken water main,1.0,0.67627364,1,hkunlp/instructor-xl
construction near a water body,0.90449625,0.65402853,2,hkunlp/instructor-xl
flood,0.88683605,0.64991504,3,hkunlp/instructor-xl
broken levee,0.87970465,0.648254,4,hkunlp/instructor-xl
improper drainage,0.865236,0.6448839,5,hkunlp/instructor-xl
burst pipe,0.844561,0.6400682,6,hkunlp/instructor-xl
heavy rainfall,0.78171337,0.62542945,7,hkunlp/instructor-xl
irrigation canals overflow,0.6978898,0.60590494,8,hkunlp/instructor-xl
severe storm,0.6931741,0.60480654,9,hkunlp/instructor-xl
dam failure,0.67291963,0.6000888,10,hkunlp/instructor-xl
tsunami,0.59563017,0.5820862,11,hkunlp/instructor-xl
monsoon rains,0.46807602,0.5523758,12,hkunlp/instructor-xl
fire,0.3478677,0.5243764,13,hkunlp/instructor-xl
wind,0.3019766,0.51368725,14,hkunlp/instructor-xl
tears of joy,0.011141517,0.4459448,15,hkunlp/instructor-xl
police,0.0,0.44334966,16,hkunlp/instructor-xl
broken water main,1.0,0.8424855,1,hkunlp/instructor-base
construction near a water body,0.96240175,0.83950025,2,hkunlp/instructor-base
flood,0.8804872,0.83299637,3,hkunlp/instructor-base
improper drainage,0.8755348,0.83260316,4,hkunlp/instructor-base
heavy rainfall,0.86884373,0.8320719,5,hkunlp/instructor-base
broken levee,0.85765076,0.8311832,6,hkunlp/instructor-base
dam failure,0.8009163,0.8266786,7,hkunlp/instructor-base
severe storm,0.78531444,0.8254398,8,hkunlp/instructor-base
monsoon rains,0.7539485,0.8229494,9,hkunlp/instructor-base
burst pipe,0.71016073,0.81947273,10,hkunlp/instructor-base
wind,0.6682294,0.81614345,11,hkunlp/instructor-base
irrigation canals overflow,0.62572527,0.8127687,12,hkunlp/instructor-base
tsunami,0.62291616,0.81254566,13,hkunlp/instructor-base
fire,0.10225038,0.77120566,14,hkunlp/instructor-base
tears of joy,0.06362216,0.76813865,15,hkunlp/instructor-base
police,0.0,0.76308715,16,hkunlp/instructor-base
flood,1.0,0.78722763,1,BAAI/bge-large-en
dam failure,0.9832351,0.7859633,2,BAAI/bge-large-en
heavy rainfall,0.84532636,0.7755628,3,BAAI/bge-large-en
tsunami,0.75559646,0.7687958,4,BAAI/bge-large-en
wind,0.72015166,0.7661227,5,BAAI/bge-large-en
monsoon rains,0.7035899,0.7648737,6,BAAI/bge-large-en
fire,0.6878122,0.7636838,7,BAAI/bge-large-en
construction near a water body,0.6798028,0.76307976,8,BAAI/bge-large-en
improper drainage,0.66585153,0.7620276,9,BAAI/bge-large-en
severe storm,0.66317385,0.7618257,10,BAAI/bge-large-en
broken water main,0.5381991,0.75240064,11,BAAI/bge-large-en
irrigation canals overflow,0.49654934,0.7492596,12,BAAI/bge-large-en
burst pipe,0.41827318,0.74335635,13,BAAI/bge-large-en
broken levee,0.40843728,0.74261457,14,BAAI/bge-large-en
police,0.29441604,0.7340156,15,BAAI/bge-large-en
tears of joy,0.0,0.711812,16,BAAI/bge-large-en
flood,1.0,0.60950464,1,BAAI/bge-base-en-v1.5
improper drainage,0.8642055,0.57334375,2,BAAI/bge-base-en-v1.5
irrigation canals overflow,0.77786654,0.55035245,3,BAAI/bge-base-en-v1.5
construction near a water body,0.77764314,0.55029297,4,BAAI/bge-base-en-v1.5
dam failure,0.73846215,0.5398594,5,BAAI/bge-base-en-v1.5
heavy rainfall,0.72936875,0.5374379,6,BAAI/bge-base-en-v1.5
severe storm,0.71396816,0.5333369,7,BAAI/bge-base-en-v1.5
broken water main,0.68710446,0.5261833,8,BAAI/bge-base-en-v1.5
tsunami,0.68504745,0.52563554,9,BAAI/bge-base-en-v1.5
broken levee,0.621348,0.50867295,10,BAAI/bge-base-en-v1.5
wind,0.58534724,0.49908626,11,BAAI/bge-base-en-v1.5
monsoon rains,0.55742323,0.49165034,12,BAAI/bge-base-en-v1.5
burst pipe,0.551369,0.49003816,13,BAAI/bge-base-en-v1.5
fire,0.48629865,0.4727105,14,BAAI/bge-base-en-v1.5
police,0.14462516,0.38172585,15,BAAI/bge-base-en-v1.5
tears of joy,0.0,0.34321344,16,BAAI/bge-base-en-v1.5
